title,url,source,category,college,location,description,department,specialization,systemGroup
(Open Rank) Teaching Faculty in Public Relations and Digital Communication (Non-Tenure Track),https://careers.pageuppeople.com/820/cw/en-us/job/505428/open-rank-teaching-faculty-in-public-relations-and-digital-communication-nontenure-track,PA,Faculty,Drexel University,"Faculty University City - Philadelphia, PA",,,,
"<img src=""https://dean-www.s3.amazonaws.com/files/programs/portrait-classic-sml-dance-bfa-header.jpg"" alt=""dean college dance major performing on stage during a spring dance performance "" class=""program_image""> Dance BFA",https://www.dean.edu/academics/majors-degrees/dance-bfa/,MA,Faculty,Dean College,"Dean College, MA",,,,Massachusetts Private
"<img src=""https://dean-www.s3.amazonaws.com/files/programs/portrait-classic-sml-dance-header.jpg"" alt=""dean college dance major performing on stage during a spring dance performance"" class=""program_image""> Dance",https://www.dean.edu/academics/majors-degrees/dance/,MA,Faculty,Dean College,"Dean College, MA",,,,Massachusetts Private
"<img src=""https://dean-www.s3.amazonaws.com/files/programs/portrait-classic-sml-sports-broadcasting-header.jpg"" alt=""Dean College Sports Broadcasting student in the Patriots radio station"" class=""program_image""> Sports Broadcasting",https://www.dean.edu/academics/majors-degrees/sports-broadcasting/,MA,Faculty,Dean College,"Dean College, MA",,,,Massachusetts Private
1-877-TRY-DEAN,tel:1877TRYDEAN,MA,Faculty,Dean College,"Dean College, MA",,,,Massachusetts Private
10-month Teaching Faculty (Veterinary Technology),https://jobs.vccs.edu/postings/94143,VA,Faculty,Central Virginia Community College,"Central Virginia Community College, VA",,,,
2025 - 2026 Lecturer for Department of Animal Science,https://recruit.ucdavis.edu/JPF07079,UC,Faculty,UC Davis,"Davis, CA",,2026 Lecturer for Department of Animal Science,2026 Lecturer for Department of Animal Science,California Public
2025 Fall Dean’s List and President’s List,https://www.bryan.edu/2025-fall-deans-list-and-presidents-list/,TN,Faculty,Bryan College-Dayton,"Bryan College-Dayton, TN",,,,Tennessee
2025-2026 Lecturer - Environmental Science and Policy,https://recruit.ucdavis.edu/JPF07327,UC,Faculty,UC Davis,"Davis, CA",,Environmental Science and Policy,Environmental Science and Policy,California Public
2025-2026 Lecturer -Agricultural & Resource Economics,https://recruit.ucdavis.edu/JPF07039,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
"2025-2026 Lecturer for Department of Human Ecology, Community and Regional Development Program",https://recruit.ucdavis.edu/JPF07179,UC,Faculty,UC Davis,"Davis, CA",,Community and Regional Development Program,Community and Regional Development Program,California Public
"2025-2026 Lecturer for Department of Human Ecology, Landscape Architecture and Environmental Design",https://recruit.ucdavis.edu/JPF07227,UC,Faculty,UC Davis,"Davis, CA",,Landscape Architecture and Environmental Design,Landscape Architecture and Environmental Design,California Public
2025-2026 Lecturer for Human Development & Family Studies,https://recruit.ucdavis.edu/JPF07228,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
2025-26 Philosophy Temporary Lecturers,https://recruit.ucdavis.edu/JPF07053,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
2025-26 Psychology Temporary Lecturers,https://recruit.ucdavis.edu/JPF07052,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
2025-26 Science and Technology Studies Temporary Lecturers,https://recruit.ucdavis.edu/JPF07054,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
2026 ANT Associate Instructor/Lecturer Positon,https://recruit.ucdavis.edu/JPF07484,UC,Faculty,UC Davis,"Davis, CA",,,,California Public
"2026 Course Instructor (Gov. School, time limited, multiple openings)",https://muw.peopleadmin.com/postings/6750,MS,Faculty,Mississippi University for Women,"Columbus, MS",,,,Mississippi
2026 Visual Arts Temporary Lecturer,https://apol-recruit.ucsd.edu/JPF04395,UC,Faculty,UC San Diego,"San Diego, CA",,,,California Public
